v1,v2
ham,It took Mr owl 3 licks
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,Yes i thought so. Thanks.
spam,"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,Alex says he's not ok with you not being ok with it
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,26th OF JULY
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
ham,Jus finish bathing...
ham,I finished my lunch already. U wake up already?
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
ham,Shall i ask one thing if you dont mistake me.
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,Well thats nice. Too bad i cant eat it
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Pls confirm the time to collect the cheque.
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,No pic. Please re-send.
ham,"Good stuff, will do."
ham,Friends that u can stay on fb chat with
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
